Iterations,Trails,Inputs,Action,Reward,Waypoint,Penalty
1,1,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,left,0
1,2,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,left,0
1,3,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,left,0
1,4,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",None,0,left,0
1,5,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",None,0,left,0
1,6,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",None,0,left,0
1,7,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,-0.5,left,-0.5
1,8,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,right,0
1,9,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
1,10,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",None,0,right,0
1,11,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",None,0,right,0
1,12,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",None,0,right,0
1,13,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,right,0
1,14,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",left,-1,right,-1
1,15,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",forward,-1,right,-1
1,16,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
1,17,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
1,18,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
1,19,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",right,-0.5,forward,-0.5
1,20,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",left,-1,left,-1
1,21,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",left,-1,left,-1
1,22,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",right,-0.5,left,-0.5
1,23,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
