Iteration,Trial,Light,Oncoming,Right,Left,Action,Waypoint,Reward
1,1,red,None,None,None,None,right,0
1,2,red,None,None,None,None,right,0
1,3,red,None,None,None,None,right,0
1,4,green,left,None,None,right,right,2
1,5,green,None,None,None,forward,right,-0.5
1,6,red,None,None,None,left,right,-1
1,7,green,None,None,None,left,right,-0.5
1,8,green,None,None,None,None,right,0
1,9,red,None,None,None,forward,right,-1
1,10,red,None,None,None,right,right,2
1,11,red,None,None,None,right,right,2
1,12,green,None,None,None,None,forward,0
1,13,green,None,right,None,left,forward,-0.5
1,14,green,None,None,None,forward,right,-0.5
1,15,green,None,None,None,None,right,0
1,16,red,None,None,None,left,right,-1
1,17,red,None,None,None,forward,right,-1
1,18,red,None,None,None,forward,right,-1
1,19,red,None,None,None,right,right,2
1,20,red,None,None,None,None,forward,0
1,21,red,None,None,None,right,forward,-0.5
1,22,green,None,None,None,right,left,-0.5
1,23,red,None,None,None,right,right,2
1,24,green,None,None,None,left,right,-0.5
1,25,green,None,None,None,left,right,-0.5
1,26,red,None,None,None,right,left,-0.5
2,1,red,None,None,None,right,right,2
2,2,green,None,None,None,right,left,9.5
3,1,red,None,None,None,right,right,2
3,2,red,None,None,None,forward,forward,-1
3,3,red,None,None,None,left,forward,-1
3,4,red,None,None,None,forward,forward,-1
3,5,red,None,None,None,None,forward,0
3,6,green,None,None,None,None,forward,0
3,7,green,None,None,None,right,forward,-0.5
3,8,red,None,None,None,right,left,-0.5
3,9,red,None,None,None,right,right,2
3,10,green,None,None,None,right,right,2
3,11,red,None,None,None,left,forward,-1
3,12,red,None,None,None,left,forward,-1
3,13,red,None,None,None,right,forward,-0.5
3,14,red,None,None,None,None,left,0
3,15,red,None,None,None,None,left,0
3,16,green,None,None,None,right,left,-0.5
3,17,green,None,left,None,right,right,2
3,18,green,None,None,None,right,right,2
3,19,green,None,None,None,left,forward,-0.5
3,20,green,left,None,None,right,right,2
3,21,red,None,None,None,right,left,-0.5
3,22,green,None,None,None,right,right,2
3,23,red,None,None,None,right,right,2
3,24,red,left,None,None,right,right,2
3,25,green,None,None,None,None,left,0
3,26,green,None,None,None,None,left,0
4,1,green,None,left,None,None,left,0
4,2,green,None,left,None,None,left,0
4,3,green,None,left,None,forward,left,-0.5
4,4,red,None,None,None,forward,left,-1
4,5,green,None,None,None,left,left,2
4,6,red,None,None,None,None,forward,0
4,7,red,None,None,None,None,forward,0
4,8,red,None,None,None,right,forward,-0.5
4,9,green,None,None,None,left,left,2
4,10,red,None,None,None,forward,forward,-1
4,11,red,None,None,None,forward,forward,-1
4,12,red,None,None,None,right,forward,-0.5
4,13,green,None,None,None,forward,left,-0.5
4,14,red,None,None,None,left,left,-1
4,15,red,None,None,None,left,left,-1
4,16,green,None,None,None,forward,left,-0.5
4,17,red,None,None,left,forward,left,-1
4,18,red,None,None,None,forward,left,-1
4,19,green,None,None,None,None,left,0
4,20,green,None,None,None,None,left,0
4,21,green,None,None,None,forward,left,-0.5
4,22,green,None,None,None,forward,left,-0.5
4,23,green,None,None,None,left,left,2
4,24,green,None,None,None,None,right,0
4,25,red,None,None,None,right,right,12
5,1,red,None,None,None,right,right,2
5,2,green,None,None,None,forward,right,-0.5
5,3,red,None,None,None,left,right,-1
5,4,green,None,None,None,left,right,-0.5
5,5,red,None,None,None,None,right,0
5,6,red,None,None,None,None,right,0
5,7,green,None,None,None,right,right,2
5,8,red,None,None,None,right,right,2
5,9,green,None,None,None,right,forward,-0.5
5,10,green,None,None,None,left,left,2
5,11,green,None,None,None,right,right,2
5,12,red,None,None,None,right,forward,-0.5
5,13,red,None,None,None,right,right,2
5,14,red,None,None,None,right,right,2
5,15,red,None,None,None,right,right,2
5,16,red,None,None,None,left,forward,-1
5,17,red,None,None,None,left,forward,-1
5,18,red,None,None,None,right,forward,-0.5
5,19,red,None,None,None,right,right,2
5,20,red,None,None,None,right,right,2
5,21,red,None,None,None,right,right,2
6,1,green,None,None,None,right,right,2
6,2,red,None,None,None,right,right,2
6,3,red,None,None,None,None,forward,0
6,4,green,None,None,None,forward,forward,2
6,5,red,None,None,None,None,forward,0
6,6,red,None,None,None,None,forward,0
6,7,green,None,None,None,forward,forward,2
6,8,green,None,None,None,right,left,-0.5
6,9,red,None,None,None,None,forward,0
6,10,green,None,None,None,None,forward,0
6,11,green,None,None,None,None,forward,0
6,12,green,None,None,None,forward,forward,2
6,13,red,None,None,None,None,forward,0
6,14,red,None,None,None,None,forward,0
6,15,red,None,None,None,None,forward,0
6,16,red,None,None,None,forward,forward,-1
6,17,green,None,None,None,left,forward,-0.5
6,18,red,None,None,None,right,forward,-0.5
6,19,red,None,None,None,None,left,0
6,20,red,None,None,None,None,left,0
6,21,green,None,None,None,left,left,2
6,22,red,None,None,None,right,forward,-0.5
6,23,red,None,None,right,right,left,-0.5
6,24,green,None,None,None,right,right,2
6,25,green,None,None,None,right,right,2
6,26,green,None,None,None,forward,forward,2
6,27,green,None,None,right,forward,forward,2
6,28,red,None,None,None,right,forward,-0.5
6,29,green,None,None,None,left,left,2
6,30,red,None,None,None,right,forward,-0.5
6,31,green,None,None,None,left,left,2
6,32,red,None,None,None,None,forward,0
6,33,red,None,None,None,None,forward,0
6,34,green,None,None,None,right,forward,-0.5
6,35,red,None,None,None,left,left,-1
6,36,red,None,None,None,left,left,-1
7,1,red,None,None,None,forward,left,-1
7,2,red,None,None,None,forward,left,-1
7,3,red,None,None,None,None,left,0
7,4,green,None,None,None,left,left,2
7,5,red,None,None,None,None,forward,0
7,6,green,None,None,None,forward,forward,2
7,7,green,None,None,None,forward,forward,2
7,8,red,None,None,None,None,forward,0
7,9,red,None,None,None,None,forward,0
7,10,red,None,None,None,None,forward,0
7,11,green,None,None,None,forward,forward,12
8,1,green,None,None,None,right,right,2
8,2,red,None,None,None,right,right,2
8,3,green,None,None,None,None,right,0
8,4,green,None,None,None,None,right,0
8,5,red,None,None,None,right,right,2
8,6,green,None,None,None,left,left,2
8,7,green,None,None,None,forward,forward,2
8,8,green,None,None,None,forward,forward,12
9,1,green,None,None,None,left,left,2
9,2,green,None,None,forward,forward,forward,2
9,3,green,None,None,None,forward,forward,2
9,4,green,None,None,None,forward,forward,2
9,5,red,None,None,None,None,forward,0
9,6,green,None,None,None,forward,forward,2
9,7,green,None,None,None,right,right,2
9,8,red,None,None,None,None,forward,0
9,9,green,None,None,None,forward,forward,2
9,10,red,None,None,None,None,forward,0
9,11,red,None,None,None,None,forward,0
9,12,red,None,None,forward,None,forward,0
9,13,green,None,None,forward,forward,forward,2
9,14,green,None,None,None,forward,forward,2
9,15,green,None,None,None,forward,forward,12
10,1,red,None,None,None,right,right,2
10,2,red,None,None,None,right,right,2
10,3,red,None,None,None,None,forward,0
10,4,green,None,None,None,forward,forward,2
