alpha,gamma,actions,rewards,penalty,reward_per_action,penalty_per_action
0.9,0.3,1306,2711.5,70,2.07618683,0.053598775
0.9,0.5,1444,2671.5,170,1.850069252,0.117728532
0.9,0.1,1233,2190,45,1.776155718,0.03649635
0.9,0.7,1631,2789,478,1.709993869,0.293071735
0.9,0.9,1584,2686,460,1.695707071,0.29040404
0.9,0.6,1363,2310,239,1.694790902,0.175348496
0.5,0.3,1299,2172.5,125,1.672440339,0.096227868
0.9,0.2,1298,2157,62,1.661787365,0.047765794
0.6,0.9,1569,2600,453,1.657106437,0.288718929
0.9,0.8,1546,2533.5,453,1.638745149,0.29301423
0.6,0.1,1321,2164.5,76,1.638531416,0.057532173
0.7,0.4,1372,2230.5,113,1.625728863,0.082361516
0.6,0.7,1586,2578,481,1.625472888,0.303278689
0.5,0.1,1334,2156.5,91,1.616566717,0.068215892
0.8,0.8,1661,2680,480,1.613485852,0.288982541
0.8,0.6,1391,2241.5,189,1.611430625,0.135873472
0.8,0.5,1331,2133,106,1.60255447,0.079639369
0.5,0.7,1579,2523.5,477,1.598163395,0.30208993
0.8,0.7,1453,2306,259,1.587061253,0.178251893
0.6,0.2,1358,2152,82,1.584683358,0.060382916
0.7,0.5,1444,2278.5,156,1.577908587,0.108033241
0.9,0.4,1398,2205.5,78,1.577610873,0.055793991
0.7,0.2,1401,2202,78,1.571734475,0.055674518
0.5,0.2,1393,2182,99,1.566403446,0.071069634
0.5,0.6,1649,2575,500,1.561552456,0.303214069
0.8,0.3,1370,2137.5,94,1.560218978,0.068613139
0.5,0.5,1359,2111.5,185,1.553715968,0.136129507
0.6,0.6,1405,2171,183,1.54519573,0.13024911
0.7,0.7,1640,2527.5,374,1.541158537,0.22804878
0.5,0.9,1684,2590.5,516,1.538301663,0.306413302
0.8,0.2,1330,2044.5,68,1.537218045,0.05112782
0.4,0.2,1431,2198.5,123,1.536338225,0.085953878
0.5,0.8,1652,2530.5,511,1.531779661,0.309322034
0.4,0.6,1675,2564.5,531,1.531044776,0.317014925
0.7,0.8,1721,2629,517,1.527600232,0.30040674
0.7,0.3,1428,2168.5,86,1.518557423,0.06022409
0.5,0.4,1493,2259.5,135,1.513395847,0.090421969
0.3,0.1,1367,2067.5,143,1.512435991,0.104608632
0.6,0.8,1718,2583.5,555,1.503783469,0.323050058
0.6,0.3,1453,2174,102,1.496214728,0.070199587
0.4,0.7,1669,2489.5,487,1.491611744,0.291791492
0.4,0.3,1421,2119.5,170,1.491555243,0.119634061
0.4,0.9,1725,2572,539,1.491014493,0.312463768
0.6,0.5,1441,2145.5,167,1.4888966,0.115891742
0.8,0.4,1512,2236.5,110,1.479166667,0.072751323
0.4,0.1,1421,2099.5,103,1.477480647,0.072484166
0.4,0.5,1482,2185,212,1.474358974,0.143049933
0.3,0.2,1416,2080,167,1.468926554,0.117937853
0.7,0.1,1514,2219,64,1.465653897,0.042272127
0.3,0.7,1769,2543,568,1.437535331,0.321085359
0.4,0.4,1500,2153,193,1.435333333,0.128666667
0.3,0.3,1453,2075,191,1.428079835,0.131452168
0.6,0.4,1501,2136,120,1.423051299,0.079946702
0.7,0.6,1540,2186,199,1.419480519,0.129220779
0.4,0.8,1730,2454.5,507,1.418786127,0.293063584
0.3,0.8,1579,2219,501,1.405319823,0.317289424
0.3,0.6,1728,2423,460,1.402199074,0.266203704
0.7,0.9,1695,2365,438,1.395280236,0.25840708
0.3,0.5,1502,2064,260,1.374167776,0.17310253
0.2,0.2,1467,1998,242,1.36196319,0.164962509
0.2,0.3,1477,2008,267,1.359512525,0.180771835
0.8,0.9,1706,2311.5,491,1.354923798,0.287807737
0.3,0.9,1939,2624,653,1.353274884,0.336771532
0.3,0.4,1517,2028,209,1.336849044,0.137771918
0.2,0.9,1858,2471.5,634,1.330193757,0.341227126
0.2,0.5,1640,2168.5,346,1.322256098,0.21097561
0.2,0.1,1548,2027,207,1.309431525,0.13372093
0.2,0.4,1613,2106.5,306,1.305951643,0.189708617
0.2,0.6,1792,2338,610,1.3046875,0.340401786
0.2,0.7,1884,2370.5,642,1.258227176,0.340764331
0.2,0.8,1915,2295,673,1.19843342,0.351436031
0.1,0.2,1588,1854,434,1.167506297,0.273299748
0.1,0.9,1982,2126.5,723,1.072906155,0.364783047
0.1,0.1,1719,1817,408,1.057009889,0.237347295
0.1,0.3,1773,1873.5,498,1.056683587,0.280879865
0.1,0.4,1902,1930.5,561,1.014984227,0.294952681
0.1,0.5,1989,1996,650,1.003519356,0.326797386
0.1,0.6,2013,1772,781,0.880278192,0.387978142
0.1,0.8,2247,1920,885,0.85447263,0.393858478
0.1,0.7,2154,1827.5,864,0.848421541,0.401114206
0.8,0.1,2337,1328,63,0.568249893,0.026957638
